Date,Open,High,Low,Close,Volume,Adj Close
2014-05-02,193.75,193.84,191.25,191.44,3049900,191.44
2014-05-01,196.31,196.74,193.15,193.53,3674000,193.53
2014-04-30,194.38,196.86,194.35,196.47,4206800,196.47
2014-04-29,193.59,195.94,193.41,195.11,4626300,195.11
2014-04-28,191.14,193.99,190.58,193.14,5632600,193.14
2014-04-25,190.54,190.67,189.11,189.63,3871000,189.63
2014-04-24,192.22,192.22,190.03,190.22,4407100,190.22
2014-04-23,191.79,192.41,190.11,191.73,4736400,191.73
2014-04-22,192.01,193.00,191.20,192.15,3878600,192.15
2014-04-21,189.80,192.81,189.74,192.27,5419700,192.27
2014-04-17,187.25,190.70,187.01,190.01,11249600,190.01
2014-04-16,198.05,198.71,195.00,196.40,8509300,196.40
2014-04-15,195.98,197.41,195.42,197.02,5351300,197.02
2014-04-14,196.24,198.24,195.88,197.77,5431100,197.77
2014-04-11,195.04,197.00,194.27,195.19,4835000,195.19
2014-04-10,196.06,199.21,195.66,195.68,8417900,195.68
2014-04-09,193.88,197.00,193.60,196.64,5480100,196.64
2014-04-08,193.89,194.17,192.69,193.29,5112000,193.29
2014-04-07,191.72,195.31,191.57,194.52,6740500,194.52
2014-04-04,193.12,193.97,191.28,191.77,6089900,191.77
2014-04-03,193.20,193.38,192.35,192.69,4074500,192.69
2014-04-02,194.24,194.50,192.49,193.55,4924100,193.55
2014-04-01,193.12,195.13,192.78,194.50,5394100,194.50
2014-03-31,191.64,193.77,191.40,192.49,8537300,192.49
2014-03-28,189.94,192.62,189.11,190.45,5194400,190.45
2014-03-27,191.91,192.67,189.32,189.83,6767700,189.83
2014-03-26,194.98,195.63,191.96,192.62,6851700,192.62
2014-03-25,188.76,195.40,188.70,195.04,10912700,195.04
2014-03-24,187.43,189.44,187.37,188.25,5738500,188.25
2014-03-21,188.50,188.70,186.40,186.67,12535200,186.67
2014-03-20,184.47,188.26,184.17,187.90,5062600,187.90
2014-03-19,185.60,186.70,183.50,184.71,4323900,184.71
2014-03-18,185.99,187.90,185.54,186.81,3961300,186.81
2014-03-17,182.66,186.35,182.66,185.81,4938100,185.81
2014-03-14,183.89,184.29,182.21,182.21,5490300,182.21
2014-03-13,186.41,187.00,183.71,183.90,4913200,183.90
2014-03-12,186.01,187.45,185.89,186.22,4833000,186.22
2014-03-11,187.41,188.45,186.04,186.76,4229500,186.76
